시도교육청코드,시도교육청명,행정표준코드,학교명,학년도,학년,주야과정명,학교과정명,계열명,학과명,학급명,수정일자
B10,서울특별시교육청,7132108,서울신상도초등학교,2025,1,,초등학교,,,5,20250401
B10,서울특별시교육청,7132108,서울신상도초등학교,2025,1,,초등학교,,,6,20250401
B10,서울특별시교육청,7132108,서울신상도초등학교,2025,1,,초등학교,,,7,20250401
B10,서울특별시교육청,7132108,서울신상도초등학교,2025,1,,초등학교,,,8,20250401
B10,서울특별시교육청,7132108,서울신상도초등학교,2025,2,,초등학교,,,1,20250401
B10,서울특별시교육청,7132108,서울신상도초등학교,2025,2,,초등학교,,,2,20250401
B10,서울특별시교육청,7132108,서울신상도초등학교,2025,2,,초등학교,,,3,20250401
B10,서울특별시교육청,7132108,서울신상도초등학교,2025,2,,초등학교,,,4,20250401
B10,서울특별시교육청,7132108,서울신상도초등학교,2025,2,,초등학교,,,5,20250401
B10,서울특별시교육청,7132108,서울신상도초등학교,2025,2,,초등학교,,,6,20250401
B10,서울특별시교육청,7132108,서울신상도초등학교,2025,2,,초등학교,,,7,20250401
B10,서울특별시교육청,7132108,서울신상도초등학교,2025,2,,초등학교,,,8,20250401
B10,서울특별시교육청,7132108,서울신상도초등학교,2025,2,,초등학교,,,9,20250401
B10,서울특별시교육청,7132108,서울신상도초등학교,2025,3,,초등학교,,,1,20250401
B10,서울특별시교육청,7132108,서울신상도초등학교,2025,3,,초등학교,,,2,20250401
B10,서울특별시교육청,7132108,서울신상도초등학교,2025,3,,초등학교,,,3,20250401
B10,서울특별시교육청,7132108,서울신상도초등학교,2025,3,,초등학교,,,4,20250401
B10,서울특별시교육청,7132108,서울신상도초등학교,2025,3,,초등학교,,,5,20250401
B10,서울특별시교육청,7132108,서울신상도초등학교,2025,3,,초등학교,,,6,20250401
B10,서울특별시교육청,7132108,서울신상도초등학교,2025,3,,초등학교,,,7,20250401
B10,서울특별시교육청,7132108,서울신상도초등학교,2025,3,,초등학교,,,8,20250401
B10,서울특별시교육청,7132108,서울신상도초등학교,2025,3,,초등학교,,,9,20250401
B10,서울특별시교육청,7132108,서울신상도초등학교,2025,4,,초등학교,,,1,20250401
B10,서울특별시교육청,7132108,서울신상도초등학교,2025,4,,초등학교,,,10,20250401
B10,서울특별시교육청,7132108,서울신상도초등학교,2025,4,,초등학교,,,2,20250401
B10,서울특별시교육청,7132108,서울신상도초등학교,2025,4,,초등학교,,,3,20250401
B10,서울특별시교육청,7132108,서울신상도초등학교,2025,4,,초등학교,,,4,20250401
B10,서울특별시교육청,7132108,서울신상도초등학교,2025,4,,초등학교,,,5,20250401
B10,서울특별시교육청,7132108,서울신상도초등학교,2025,4,,초등학교,,,6,20250401
B10,서울특별시교육청,7132108,서울신상도초등학교,2025,4,,초등학교,,,7,20250401
B10,서울특별시교육청,7132108,서울신상도초등학교,2025,4,,초등학교,,,8,20250401
B10,서울특별시교육청,7132108,서울신상도초등학교,2025,4,,초등학교,,,9,20250401
B10,서울특별시교육청,7132108,서울신상도초등학교,2025,5,,초등학교,,,1,20250401
B10,서울특별시교육청,7132108,서울신상도초등학교,2025,5,,초등학교,,,10,20250401
B10,서울특별시교육청,7132108,서울신상도초등학교,2025,5,,초등학교,,,2,20250401
B10,서울특별시교육청,7132108,서울신상도초등학교,2025,5,,초등학교,,,3,20250401
B10,서울특별시교육청,7132108,서울신상도초등학교,2025,5,,초등학교,,,4,20250401
B10,서울특별시교육청,7132108,서울신상도초등학교,2025,5,,초등학교,,,5,20250401
B10,서울특별시교육청,7132108,서울신상도초등학교,2025,5,,초등학교,,,6,20250401
B10,서울특별시교육청,7132108,서울신상도초등학교,2025,5,,초등학교,,,7,20250401
B10,서울특별시교육청,7132108,서울신상도초등학교,2025,5,,초등학교,,,8,20250401
B10,서울특별시교육청,7132108,서울신상도초등학교,2025,5,,초등학교,,,9,20250401
B10,서울특별시교육청,7132108,서울신상도초등학교,2025,6,,초등학교,,,1,20250401
B10,서울특별시교육청,7132108,서울신상도초등학교,2025,6,,초등학교,,,2,20250401
B10,서울특별시교육청,7132108,서울신상도초등학교,2025,6,,초등학교,,,3,20250401
B10,서울특별시교육청,7132108,서울신상도초등학교,2025,6,,초등학교,,,4,20250401
B10,서울특별시교육청,7132108,서울신상도초등학교,2025,6,,초등학교,,,5,20250401
B10,서울특별시교육청,7132108,서울신상도초등학교,2025,6,,초등학교,,,6,20250401
B10,서울특별시교육청,7132108,서울신상도초등학교,2025,6,,초등학교,,,7,20250401
B10,서울특별시교육청,7132108,서울신상도초등학교,2025,6,,초등학교,,,8,20250401
B10,서울특별시교육청,7132108,서울신상도초등학교,2025,6,,초등학교,,,9,20250401

